pid|creator_email|project_name|tag|project_date|day_of_week|start_time|end_time|curr_capacity|goal_capacity|city|state|description,,
"|""""|Proin|Lorem|01/19/2019|saturday|10|19|0|25|Topeka|KS|""""",,
"|""""|ipsum.|dui.|08/26/2018|thursday|11|22|0|50|Salem|OR|""""",,
"|""""|malesuada|Morbi|08/10/2017|monday|12|14|0|10|Frankfort|KY|""""",,
"|""""|feugiat|arcu|05/29/2016|friday|10|10|0|10|Bear|DE|""""",,
"|""""|Nunc|vitae|11/30/2018|friday|14|15|0|5|Bridgeport|CT|""""",,
"|""""|cursus.|varius|10/08/2017|sunday|11|13|0|25|Austin|TX|""""",,
"|""""|et|in","|08/03/2016|tuesday|10|14|0|10|Omaha|NE|""""",
"|""""|scelerisque|pellentesque|08/12/2018|tuesday|9|16|0|25|Biloxi|MS|""""",,
"|""""|ullamcorper.|dignissim.|09/21/2016|thursday|20|14|0|5|Sioux City|IA|""""",,
"|""""|litora|erat|11/17/2017|thursday|9|16|0|10|Topeka|KS|""""",,
"|""""|imperdiet","|pharetra.|03/16/2019|saturday|20|15|0|10|Dallas|TX|""""",
"|""""|Fusce|rutrum|02/15/2016|sunday|12|17|0|10|Harrisburg|PA|""""",,
"|""""|primis|Integer|02/03/2016|sunday|10|10|0|25|Birmingham|AL|""""",,
"|""""|et|orci|01/31/2016|sunday|11|12|0|10|Toledo|OH|""""",,
"|""""|elit","|eget|09/10/2018|thursday|13|19|0|10|Wichita|KS|""""",
"|""""|mauris|Morbi|05/07/2017|thursday|15|15|0|50|Kailua|HI|""""",,
"|""""|Cras|lorem","|02/15/2018|saturday|19|20|0|25|Fort Worth|TX|""""",
"|""""|feugiat.|erat.|09/04/2016|friday|13|22|0|5|Minneapolis|MN|""""",,
"|""""|Phasellus|Aliquam|03/05/2017|sunday|19|11|0|10|Hillsboro|OR|""""",,
"|""""|auctor|lobortis|06/04/2017|friday|20|15|0|10|Reno|NV|""""",,
"|""""|metus.|aliquam|10/28/2018|thursday|15|14|0|25|Grand Island|NE|""""",,
"|""""|feugiat|pellentesque","|03/26/2016|friday|8|12|0|5|Stamford|CT|""""",
"|""""|Etiam|lobortis.|03/22/2018|friday|12|17|0|10|Sandy|UT|""""",,
"|""""|dolor.|non","|03/28/2019|monday|12|10|0|25|Chandler|AZ|""""",
"|""""|sit|lectus|08/11/2017|sunday|13|18|0|5|Evansville|IN|""""",,
"|""""|sem|dictum|06/25/2018|wednesday|8|21|0|10|Sioux City|IA|""""",,
"|""""|diam|feugiat|04/08/2019|saturday|12|19|0|5|Norman|OK|""""",,
"|""""|morbi|ullamcorper.|01/22/2018|friday|10|14|0|5|Essex|VT|""""",,
"|""""|mi|ligula|08/18/2016|monday|9|18|0|25|Bozeman|MT|""""",,
"|""""|eget|mi|07/13/2016|friday|13|12|0|10|Chandler|AZ|""""",,
"|""""|quis|ipsum|02/05/2016|thursday|20|17|0|10|Boston|MA|""""",,
"|""""|rutrum|consequat|01/12/2016|tuesday|9|21|0|5|Nashville|TN|""""",,
"|""""|eu","|mus.|12/31/2016|thursday|12|11|0|25|Cleveland|OH|""""",
"|""""|tincidunt|massa.|05/04/2016|wednesday|18|21|0|10|Duluth|MN|""""",,
"|""""|Maecenas|sagittis|08/12/2016|sunday|19|21|0|25|Harrisburg|PA|""""",,
"|""""|eget|amet","|04/14/2016|wednesday|15|14|0|25|Covington|KY|""""",
"|""""|dignissim|ipsum.|04/25/2016|saturday|8|10|0|5|Fort Smith|AR|""""",,
"|""""|velit|nunc|07/19/2016|monday|19|15|0|50|Athens|GA|""""",,
"|""""|ante.|fringilla|09/19/2018|sunday|10|10|0|10|Louisville|KY|""""",,
"|""""|dictum|faucibus|02/18/2018|tuesday|18|21|0|25|St. Petersburg|FL|""""",,
"|""""|vulputate|ipsum|07/02/2016|saturday|18|18|0|50|Milwaukee|WI|""""",,
"|""""|et",|quis,"|05/08/2016|saturday|11|11|0|25|Cheyenne|WY|"""""
"|""""|a|ultrices","|06/27/2018|saturday|10|18|0|25|Nampa|ID|""""",
"|""""|vel","|interdum|09/10/2016|wednesday|20|16|0|10|Georgia|GA|""""",
"|""""|nonummy|consectetuer","|08/10/2016|wednesday|9|10|0|5|Evansville|IN|""""",
"|""""|nulla|elit|12/14/2018|tuesday|13|11|0|5|Orlando|FL|""""",,
"|""""|lorem|tempor|03/31/2017|sunday|13|19|0|10|Cheyenne|WY|""""",,
"|""""|pede.|non","|03/19/2019|sunday|12|18|0|10|Madison|WI|""""",
"|""""|Quisque|metus|03/30/2018|tuesday|8|18|0|50|Baton Rouge|LA|""""",,
"|""""|rhoncus|dictum|03/18/2019|wednesday|19|15|0|50|Topeka|KS|""""",,
"|""""|sit|metus.|01/24/2017|sunday|10|18|0|25|Reno|NV|""""",,
"|""""|ultrices|orci","|05/14/2017|monday|20|21|0|5|Fayetteville|AR|""""",
"|""""|nisl|nibh|02/10/2016|sunday|20|21|0|5|Harrisburg|PA|""""",,
"|""""|Fusce|et|03/17/2018|thursday|9|13|0|10|Cambridge|MA|""""",,
"|""""|Nunc|tempus|03/05/2019|friday|17|9|0|25|Spokane|WA|""""",,
"|""""|Proin|Nunc|10/08/2017|monday|18|10|0|5|Portland|ME|""""",,
"|""""|torquent|Nulla|05/14/2018|tuesday|9|22|0|10|Columbia|MO|""""",,
"|""""|amet|suscipit|02/15/2019|friday|20|21|0|10|Independence|MO|""""",,
"|""""|est|non|01/01/2017|wednesday|8|17|0|25|Frankfort|KY|""""",,
"|""""|gravida|ligula.|01/28/2017|monday|13|22|0|25|Meridian|ID|""""",,
"|""""|ullamcorper","|metus|11/27/2016|saturday|20|20|0|10|Waterbury|CT|""""",
"|""""|mauris|lectus.|06/05/2017|friday|17|15|0|50|Wichita|KS|""""",,
"|""""|ligula|egestas|04/17/2017|wednesday|11|16|0|50|Reno|NV|""""",,
"|""""|diam|justo|12/12/2016|monday|13|11|0|50|Los Angeles|CA|""""",,
"|""""|tincidunt|id","|08/11/2016|tuesday|13|21|0|50|Glendale|AZ|""""",
"|""""|conubia|odio.|11/24/2018|wednesday|14|11|0|25|Miami|FL|""""",,
"|""""|sit|Suspendisse|07/03/2018|sunday|11|19|0|10|Tallahassee|FL|""""",,
"|""""|parturient|sit|10/30/2016|monday|16|9|0|5|Montpelier|VT|""""",,
"|""""|Cras|metus|07/31/2017|monday|15|22|0|25|Fort Wayne|IN|""""",,
"|""""|morbi|libero.|03/22/2017|wednesday|10|21|0|25|Carson City|NV|""""",,
"|""""|nisi.|cursus|05/14/2018|thursday|18|16|0|5|San Jose|CA|""""",,
"|""""|pede|Aliquam|03/20/2019|wednesday|12|12|0|10|College|AK|""""",,
"|""""|lacus.|ipsum|12/10/2016|tuesday|11|14|0|5|Jackson|MS|""""",,
"|""""|sem|sed","|11/13/2018|friday|13|11|0|5|Columbus|OH|""""",
"|""""|nisi.|Mauris|01/12/2017|friday|10|13|0|50|Sterling Heights|MI|""""",,
"|""""|erat|felis.|12/25/2016|monday|15|14|0|25|Gaithersburg|MD|""""",,
"|""""|a|placerat|10/25/2018|thursday|14|10|0|10|South Portland|ME|""""",,
"|""""|risus.|dui","|09/11/2016|sunday|9|13|0|50|Duluth|MN|""""",
"|""""|et","|blandit|09/30/2017|wednesday|14|15|0|25|Bloomington|MN|""""",
"|""""|lorem|nec","|05/09/2016|wednesday|8|19|0|10|Lexington|KY|""""",
"|""""|erat|fames|01/27/2018|tuesday|17|14|0|10|Kapolei|HI|""""",,
"|""""|Quisque|sed|04/04/2019|monday|12|12|0|50|Fort Worth|TX|""""",,
"|""""|luctus|Nullam|10/05/2016|wednesday|19|19|0|10|Omaha|NE|""""",,
"|""""|Curabitur|natoque|01/20/2016|monday|12|10|0|5|Topeka|KS|""""",,
"|""""|ante|est.|03/06/2018|saturday|9|16|0|50|Casper|WY|""""",,
"|""""|nisl.|Aliquam|05/06/2018|monday|8|18|0|25|Montpelier|VT|""""",,
"|""""|mauris|dolor.|03/26/2018|tuesday|17|22|0|50|Hillsboro|OR|""""",,
"|""""|gravida|et|11/04/2017|tuesday|10|12|0|10|Billings|MT|""""",,
"|""""|Vivamus|eget|10/10/2017|wednesday|12|18|0|25|Kansas City|MO|""""",,
"|""""|eget|arcu|09/26/2017|saturday|12|20|0|10|Joliet|IL|""""",,
"|""""|in|diam|06/26/2018|friday|9|22|0|10|Hartford|CT|""""",,
"|""""|In|Maecenas|11/27/2018|saturday|17|14|0|5|Hattiesburg|MS|""""",,
"|""""|et","|risus.|06/20/2017|monday|20|20|0|5|Austin|TX|""""",
"|""""|fermentum|auctor|01/19/2017|sunday|16|15|0|25|Paradise|NV|""""",,
"|""""|nunc.|velit.|03/03/2018|saturday|18|17|0|5|Sterling Heights|MI|""""",,
"|""""|sit|libero|10/09/2017|sunday|10|13|0|10|San Diego|CA|""""",,
"|""""|eu|tempor|08/17/2017|sunday|10|13|0|25|College|AK|""""",,
"|""""|ligula|ut|04/03/2017|tuesday|14|14|0|50|Wichita|KS|""""",,
"|""""|mi|Nullam|10/03/2016|wednesday|11|13|0|25|Rutland|VT|""""",,
"|""""|arcu.|Vivamus|02/04/2018|wednesday|8|11|0|50|Harrisburg|PA|""""",,
"|""""|ullamcorper.|eros|11/13/2017|monday|10|10|0|50|Vancouver|WA|""""",,
"|""""|velit.|magna.|02/23/2017|tuesday|8|11|0|5|Bowling Green|KY|""""",,
"|""""|interdum.|Morbi|01/15/2016|thursday|15|22|0|50|San Jose|CA|""""",,
"|""""|sapien|mauris|04/20/2018|thursday|19|13|0|25|Laramie|WY|""""",,
"|""""|molestie|nec|01/05/2019|monday|13|20|0|50|Pike Creek|DE|""""",,
"|""""|Aliquam|varius|11/02/2017|monday|13|18|0|5|Naperville|IL|""""",,
"|""""|neque|cursus|07/15/2017|friday|16|10|0|25|Gaithersburg|MD|""""",,
"|""""|quam|amet|09/12/2016|friday|8|12|0|50|College|AK|""""",,
"|""""|nec|scelerisque|12/09/2016|tuesday|20|13|0|50|Casper|WY|""""",,
"|""""|sit|turpis|10/30/2016|friday|9|11|0|10|New Haven|CT|""""",,
"|""""|Quisque|non|09/19/2017|tuesday|10|13|0|5|Springdale|AR|""""",,
"|""""|aliquet|molestie|03/03/2019|wednesday|10|11|0|10|Olathe|KS|""""",,
"|""""|eros.|quam|05/03/2016|monday|16|20|0|5|Columbus|GA|""""",,
"|""""|aliquet","|convallis|12/22/2017|monday|20|21|0|25|Worcester|MA|""""",
"|""""|non","|imperdiet|02/24/2016|wednesday|9|17|0|5|Salem|OR|""""",
"|""""|ullamcorper.|id|05/13/2018|wednesday|14|12|0|5|Hartford|CT|""""",,
"|""""|eu","|Cum|11/28/2017|monday|8|19|0|25|Kansas City|KS|""""",
"|""""|euismod|vitae|11/05/2017|thursday|19|19|0|5|Fort Wayne|IN|""""",,
"|""""|sem|arcu.|03/24/2018|friday|9|10|0|5|Chesapeake|VA|""""",,
"|""""|Nulla|amet","|03/17/2019|wednesday|20|14|0|10|Lafayette|LA|""""",
"|""""|vestibulum.|varius|01/04/2019|saturday|13|10|0|5|Indianapolis|IN|""""",,
"|""""|dolor|ac|11/21/2016|wednesday|14|15|0|10|Covington|KY|""""",,
"|""""|nisi|hendrerit|11/24/2017|tuesday|15|20|0|5|Baton Rouge|LA|""""",,
"|""""|per|ac|05/22/2018|sunday|9|18|0|5|Grand Island|NE|""""",,
"|""""|In|sodales|03/21/2017|monday|8|21|0|5|Glendale|AZ|""""",,
"|""""|elementum|id|10/07/2017|tuesday|14|22|0|10|Kearney|NE|""""",,
"|""""|purus.|sed|09/10/2018|friday|9|18|0|5|Sterling Heights|MI|""""",,
"|""""|Duis|magnis|01/07/2019|thursday|17|20|0|25|College|AK|""""",,
"|""""|malesuada|enim.|04/09/2016|thursday|16|14|0|10|Wilmington|DE|""""",,
"|""""|vitae","|pede|09/02/2018|monday|10|17|0|5|Louisville|KY|""""",
"|""""|Aliquam|ultrices|04/03/2019|monday|12|13|0|10|Athens|GA|""""",,
"|""""|urna|in|05/30/2016|tuesday|8|19|0|50|Ketchikan|AK|""""",,
"|""""|et|et|11/21/2016|monday|14|13|0|25|Spokane|WA|""""",,
"|""""|mi","|nulla|01/03/2019|tuesday|14|15|0|25|Phoenix|AZ|""""",
"|""""|tristique|Duis|02/14/2016|wednesday|20|9|0|10|Des Moines|IA|""""",,
"|""""|Proin|nulla|11/11/2016|friday|18|10|0|10|Kaneohe|HI|""""",,
"|""""|In|amet|01/09/2019|thursday|15|16|0|50|Aurora|IL|""""",,
"|""""|mauris|Nunc|03/14/2017|wednesday|14|9|0|50|Aurora|CO|""""",,
"|""""|posuere|Fusce|01/25/2018|saturday|10|16|0|10|Austin|TX|""""",,
"|""""|massa.|vel","|11/05/2016|friday|19|20|0|25|Kailua|HI|""""",
"|""""|eget|orci","|11/30/2018|wednesday|20|9|0|5|Laramie|WY|""""",
"|""""|sit|consectetuer|07/16/2017|tuesday|9|19|0|10|North Las Vegas|NV|""""",,
"|""""|mollis.|blandit|09/28/2016|friday|16|14|0|25|New Haven|CT|""""",,
"|""""|elit","|Nulla|02/09/2017|tuesday|16|22|0|25|Kearney|NE|""""",
"|""""|ornare","|sociis|01/14/2017|sunday|11|17|0|50|Ketchikan|AK|""""",
"|""""|arcu.|Cras|06/11/2018|friday|18|12|0|25|Richmond|VA|""""",,
"|""""|nec","|libero.|09/11/2017|friday|17|19|0|50|Bellevue|NE|""""",
"|""""|Vivamus|imperdiet|06/27/2016|thursday|10|21|0|50|Hartford|CT|""""",,
"|""""|Fusce|auctor|09/10/2016|thursday|20|9|0|5|Newark|DE|""""",,
"|""""|Nulla|Aliquam|12/21/2016|thursday|19|15|0|10|Portland|ME|""""",,
"|""""|pulvinar|sem|05/11/2017|friday|18|13|0|5|Minneapolis|MN|""""",,
"|""""|Etiam|congue.|04/27/2016|tuesday|15|20|0|25|Jackson|MS|""""",,
"|""""|id","|gravida|01/29/2017|friday|16|18|0|25|Erie|PA|""""",
"|""""|nunc.|montes","|02/19/2019|monday|16|9|0|10|Pike Creek|DE|""""",
"|""""|ac|iaculis|02/12/2016|thursday|10|12|0|25|Columbus|GA|""""",,
"|""""|ac",|vel,"|08/12/2018|tuesday|14|9|0|50|New Haven|CT|"""""
"|""""|consequat","|aliquet.|05/22/2018|wednesday|20|18|0|5|Burlington|VT|""""",
"|""""|mauris|eu","|07/02/2017|friday|19|12|0|10|Columbus|GA|""""",
"|""""|Etiam|sit|10/23/2016|thursday|13|18|0|5|Shreveport|LA|""""",,
"|""""|turpis|arcu|12/22/2016|sunday|9|18|0|25|Chesapeake|VA|""""",,
"|""""|faucibus|nunc|11/11/2018|friday|16|11|0|5|Cambridge|MA|""""",,
"|""""|primis|Sed|07/30/2018|monday|16|16|0|5|Savannah|GA|""""",,
"|""""|volutpat.|lectus|12/07/2016|monday|11|15|0|10|Cedar Rapids|IA|""""",,
"|""""|mi|odio.|12/23/2018|sunday|17|14|0|5|Flint|MI|""""",,
"|""""|cursus|feugiat|10/17/2016|saturday|14|10|0|5|Austin|TX|""""",,
"|""""|Nunc|nascetur|11/15/2016|thursday|8|14|0|10|Kailua|HI|""""",,
"|""""|non|semper.|05/19/2016|friday|9|17|0|50|San Diego|CA|""""",,
"|""""|arcu.|posuere","|05/06/2017|monday|16|20|0|10|Oklahoma City|OK|""""",
"|""""|dolor.|odio.|04/25/2016|thursday|18|10|0|25|Lafayette|LA|""""",,
"|""""|enim|In|09/26/2017|thursday|8|11|0|5|Las Vegas|NV|""""",,
"|""""|Phasellus|dis|09/28/2016|friday|9|18|0|25|Carson City|NV|""""",,
"|""""|sed|cursus","|08/19/2016|monday|17|9|0|5|Springfield|MA|""""",
"|""""|eget","|quis|07/23/2017|friday|17|17|0|10|South Bend|IN|""""",
"|""""|at","|Mauris|01/01/2017|sunday|13|12|0|50|Gresham|OR|""""",
"|""""|a","|Morbi|06/05/2017|friday|20|22|0|5|Worcester|MA|""""",
"|""""|mi|Proin|02/26/2018|wednesday|11|9|0|25|Milwaukee|WI|""""",,
"|""""|nisl|malesuada|06/07/2018|tuesday|11|9|0|5|Sioux City|IA|""""",,
"|""""|diam|mi|04/15/2017|friday|14|9|0|50|Memphis|TN|""""",,
"|""""|magnis|netus|09/05/2017|tuesday|9|21|0|5|Boise|ID|""""",,
"|""""|vitae|urna.|07/24/2018|sunday|17|14|0|50|Savannah|GA|""""",,
"|""""|Cum|sed|04/20/2016|monday|17|18|0|25|Milwaukee|WI|""""",,
"|""""|arcu.|arcu.|09/09/2017|tuesday|18|22|0|50|Saint Paul|MN|""""",,
"|""""|mauris|consectetuer|03/21/2017|sunday|11|9|0|50|Glendale|AZ|""""",,
"|""""|Suspendisse|eleifend|06/15/2018|wednesday|12|13|0|50|Saint Paul|MN|""""",,
"|""""|sit|adipiscing|02/12/2019|saturday|13|12|0|10|Bear|DE|""""",,
"|""""|metus.|Curabitur|07/30/2016|friday|10|13|0|25|Aurora|CO|""""",,
"|""""|luctus|nunc|10/27/2016|friday|20|11|0|10|Laramie|WY|""""",,
"|""""|ultricies|nibh|05/09/2018|monday|11|21|0|5|Grand Rapids|MI|""""",,
"|""""|odio","|elit|03/04/2016|saturday|9|10|0|10|Carson City|NV|""""",
"|""""|cursus|purus|10/04/2018|saturday|12|14|0|25|Wichita|KS|""""",,
"|""""|sed|lorem.|03/30/2019|wednesday|15|9|0|5|Auburn|ME|""""",,
"|""""|purus|enim.|06/19/2016|saturday|14|16|0|10|Glendale|AZ|""""",,
"|""""|congue","|dictum|01/29/2018|saturday|12|16|0|5|Pocatello|ID|""""",
"|""""|Cras|mi|05/17/2018|wednesday|13|13|0|10|Cambridge|MA|""""",,
"|""""|in|ullamcorper|03/19/2019|sunday|13|10|0|50|New Haven|CT|""""",,
"|""""|penatibus|Lorem|06/14/2017|tuesday|14|15|0|25|Ketchikan|AK|""""",,
"|""""|augue|Curabitur|09/20/2017|thursday|13|17|0|25|Detroit|MI|""""",,
"|""""|tincidunt|tellus.|04/29/2018|thursday|14|9|0|5|Fort Wayne|IN|""""",,
"|""""|diam.|Nulla|09/23/2016|wednesday|9|13|0|5|Lexington|KY|""""",,
"|""""|dolor","|iaculis|07/03/2017|friday|11|16|0|50|Athens|GA|""""",
"|""""|sagittis|porttitor|08/03/2016|thursday|9|12|0|10|New Haven|CT|""""",,
"|""""|malesuada.|lobortis|06/18/2016|friday|10|19|0|10|Rutland|VT|""""",,
"|""""|nonummy|eu","|01/04/2016|sunday|15|9|0|10|Columbus|OH|""""",
"|""""|bibendum.|Etiam|01/25/2018|sunday|17|18|0|25|Davenport|IA|""""",,
"|""""|non|dapibus|09/23/2016|monday|20|22|0|10|Bellevue|WA|""""",,
"|""""|mollis|Nullam|02/23/2016|tuesday|11|22|0|10|Laramie|WY|""""",,
"|""""|velit|senectus|06/09/2018|monday|17|18|0|50|Gaithersburg|MD|""""",,
"|""""|metus.|Vestibulum|12/02/2018|tuesday|14|20|0|10|Warren|MI|""""",,
"|""""|enim","|mauris|03/25/2018|monday|11|19|0|10|Detroit|MI|""""",
"|""""|litora|a|02/08/2017|friday|13|12|0|5|Minneapolis|MN|""""",,
"|""""|senectus|mi|03/30/2017|thursday|16|14|0|50|Colchester|VT|""""",,
"|""""|Proin|Aliquam|12/27/2017|tuesday|13|17|0|50|Salt Lake City|UT|""""",,
"|""""|quam|eros.|07/27/2016|monday|17|12|0|50|Pittsburgh|PA|""""",,
"|""""|sed|eleifend|12/29/2018|monday|19|18|0|50|Saint Louis|MO|""""",,
"|""""|parturient|dui.|07/08/2017|friday|12|9|0|50|Cambridge|MA|""""",,
"|""""|Duis|enim|08/22/2018|sunday|15|12|0|10|Butte|MT|""""",,
"|""""|Sed|Cras|02/03/2018|wednesday|14|10|0|25|Laramie|WY|""""",,
"|""""|in|mattis.|04/26/2017|saturday|16|12|0|50|Fort Worth|TX|""""",,
"|""""|vehicula|Integer|08/22/2017|sunday|11|12|0|10|Lincoln|NE|""""",,
"|""""|vulputate|Duis|07/15/2018|wednesday|13|18|0|5|Erie|PA|""""",,
"|""""|mus.|adipiscing|04/10/2019|monday|18|13|0|25|Portland|OR|""""",,
"|""""|sem|varius.|05/14/2016|thursday|8|11|0|50|West Jordan|UT|""""",,
"|""""|In|Fusce|04/03/2018|sunday|8|16|0|5|West Valley City|UT|""""",,
"|""""|ipsum|ante|04/30/2018|tuesday|13|20|0|50|Racine|WI|""""",,
"|""""|ac|dictum|01/23/2018|monday|18|15|0|25|Dallas|TX|""""",,
"|""""|dolor|Aliquam|03/21/2018|thursday|8|10|0|5|Dover|DE|""""",,
"|""""|Nam|Donec|09/12/2017|sunday|11|13|0|10|Columbus|GA|""""",,
"|""""|litora|Suspendisse|05/21/2018|friday|11|21|0|10|Los Angeles|CA|""""",,
"|""""|aliquam|molestie|03/04/2018|thursday|12|18|0|50|Newark|DE|""""",,
"|""""|mauris|amet","|03/05/2016|sunday|14|17|0|50|Los Angeles|CA|""""",
"|""""|egestas|egestas|01/03/2018|friday|12|14|0|5|Jacksonville|FL|""""",,
"|""""|tincidunt|posuere|04/29/2018|monday|15|13|0|10|Kenosha|WI|""""",,
"|""""|massa.|a|03/10/2017|monday|19|21|0|25|Springfield|IL|""""",,
"|""""|netus|mus.|09/27/2018|wednesday|19|18|0|5|Lakewood|CO|""""",,
"|""""|tortor|et","|07/10/2018|friday|8|10|0|5|Evansville|IN|""""",
"|""""|tellus|cursus|10/27/2018|saturday|19|21|0|50|Essex|VT|""""",,
"|""""|libero|turpis|01/06/2016|sunday|16|12|0|25|Detroit|MI|""""",,
"|""""|Fusce|et|04/04/2016|monday|14|16|0|10|North Las Vegas|NV|""""",,
"|""""|odio|sit|10/16/2016|thursday|8|20|0|5|Lansing|MI|""""",,
"|""""|nibh|Integer|06/19/2018|saturday|15|15|0|50|Kaneohe|HI|""""",,
"|""""|Duis|vel","|02/14/2017|wednesday|14|21|0|10|Casper|WY|""""",
